:	O
This	O
appellant	O
pleaded	B-defendant_pleaded_guilty
guilty	I-defendant_pleaded_guilty
before	O
a	O
Magistrates	O
'	O
Court	O
to	O
two	O
offences	O
of	O
ill	O
-	O
treatment	O
or	O
neglect	O
by	O
a	O
care	O
worker	O
,	O
contrary	O
to	O
section	O
20	O
of	O
the	O
Criminal	O
Justice	O
and	O
Courts	O
Act	O
2015	O
.	O
He	O
was	O
committed	O
for	O
sentence	O
to	O
the	O
Crown	O
Court	O
at	O
Teesside	O
where	O
,	O
on	O
6	O
September	O
2019	O
he	O
was	O
sentenced	O
to	O
a	O
total	O
of	O
two	O
years	O
eight	O
months	O
'	O
imprisonment	O
.	O
He	O
now	O
appeals	B-appeal_against_sentence
against	I-appeal_against_sentence
that	I-appeal_against_sentence
sentence	I-appeal_against_sentence
by	O
leave	O
of	O
the	O
single	O
judge	O
.	O

The	O
appellant	O
pleaded	B-defendant_pleaded_guilty
guilty	I-defendant_pleaded_guilty
at	O
the	O
first	O
opportunity	O
.	O
He	O
was	O
entitled	O
to	O
and	O
in	O
due	O
course	O
received	O
full	O
credit	O
for	O
his	O
guilty	O
pleas	O
.	O

The	O
appellant	O
,	O
now	O
aged	B-defendant
36	I-'
and	O
a	O
man	O
of	O
previous	O
good	O
character	O
,	O
had	O
for	O
about	O
14	O
years	O
been	O
employed	O
as	O
a	O
support	O
worker	O
in	O
a	O
hospital	O
which	O
cared	O
for	O
adults	O
with	O
Down	O
'	O
s	O
Syndrome	O
,	O
autism	O
and	O
other	O
learning	O
difficulties	O
.	O
There	O
had	O
been	O
no	O
complaints	O
about	O
his	O
behaviour	O
towards	O
the	O
patients	O
for	O
whom	O
he	O
cared	O
.	O
In	O
early	O
2019	O
,	O
however	O
,	O
colleagues	O
reported	O
to	O
the	O
manager	O
concerns	O
about	O
his	O
treatment	O
of	O
some	O
patients	O
.	O
The	O
manager	O
reviewed	O
the	O
footage	O
from	O
CCTV	O
cameras	O
which	O
,	O
as	O
it	O
happened	O
,	O
had	O
been	O
installed	O
in	O
the	O
premises	O
at	O
a	O
time	O
when	O
the	O
appellant	O
was	O
on	O
holiday	O
and	O
of	O
which	O
he	O
was	O
therefore	O
unaware	O
.	O

The	O
appellant	O
is	O
now	O
34	O
.	O
On	O
18	B-date_of_original_trial_or_conviction
March	I-date_of_original_trial_or_conviction
2020	I-date_of_original_trial_or_conviction
at	O
Durham	O
Crown	O
Court	O
he	O
was	O
convicted	O
of	O
three	O
counts	O
of	O
making	O
indecent	B-offence
photographs	I-offence
of	O
children	O
,	O
one	O
count	O
each	O
for	O
images	O
in	O
Categories	O
A	O
,	O
B	O
and	O
C	O
.	O
On	O
24	O
April	O
2020	O
he	O
was	O
sentenced	O
by	O
His	O
Honour	O
Judge	O
Adkin	O
"("""	O
the	O
judge	O
""")"	O
to	O
10	B-defendant_original_sentence
months	I-defendant_original_sentence
'	I-defendant_original_sentence
imprisonment	I-defendant_original_sentence
suspended	O
for	O
two	O
years	O
with	O
various	O
requirements	O
.	O
He	O
was	O
also	O
made	O
the	O
subject	O
of	O
a	O
Sexual	O
Harm	O
Prevention	O
Order	O
"("""	O
SHPO	O
""")."	O
His	O
application	O
for	O
permission	O
to	O
appeal	O
against	O
conviction	O
was	O
refused	O
by	O
the	O
single	O
judge	O
and	O
he	O
now	O
seeks	O
to	O
renew	O
it	O
to	O
the	O
full	O
court	O
.	O
He	O
appeals	O
against	O
one	O
part	O
of	O
the	O
SHPO	O
with	O
leave	O
of	O
the	O
single	O
judge	O
.	O

Accordingly	O
